"ent","sigle","siteID","siteName","lon","lat","elev","poldiv1","region","nsample","ndate","clammodel","use","upperdepth","lowerdepth"
1,"ADANGE",1,"Adange",41.333333,43.305556,1750,"GEO","Georgia",40,3,2,2,NA,NA
2,"AGE",2,"Ageröds Mosse",13.416667,55.833333,58,"SWE","Sweden",135,21,2,2,NA,NA
3,"AHL5",3,"Ahlenmoor",8.729167,53.710556,3,"DEU","Germany",50,2,2,2,NA,NA
4,"AKUV",4,"Akuvaara",27.683333,69.125,170,"FIN","Finland",34,5,2,2,NA,NA
5,"AMTKEL",5,"Amtkel",41.308333,43.268056,1830,"GEO","Georgia",14,2,1,2,NA,NA
6,"ARTSLOUG",6,"Arts Lough",-6.433333,52.95,490,"IRL","Ireland",30,5,2,2,NA,80
7,"BALLIN",7,"Ballinloghig Lake",-10.308333,52.2,84,"IRL","Ireland",68,11,2,2,NA,NA
8,"BALLYBET",8,"Ballybetagh",-6.25,53.166667,250,"IRL","Ireland",36,6,2,2,NA,NA
9,"BRUVAT",9,"Bruvatnet",28.416667,70.183333,119,"NOR","Norway",40,5,2,2,NA,NA
10,"CARNINO",10,"Selle di Carnino",7.694444,44.15,1905,"ITA","Italy",69,5,2,2,35,435
11,"CHABADA2",11,"Chabada Lake",129.366667,61.983333,290,"RUS","Russia",116,0,1,2,NA,NA
12,"CHERNIH",12,"Chernikhovo",26.433333,53.416667,168,"BLR","Belarus",52,4,2,2,NA,NA
13,"CHIVRES",13,"Le Marais St Boetien",3.816667,49.616667,73,"FRA","France",30,6,2,2,NA,NA
14,"CS-4",14,"Voros-mocsar",19.190833,46.477222,91,"HUN","Hungary",18,5,1,2,NA,NA
15,"CTAR",15,"Starniki",26.016667,50.266667,198,"UKR","Ukraine",30,10,2,2,NA,NA
16,"DERPUT",16,"Derput",124.116667,57.033333,700,"RUS","Russia",52,5,1,2,NA,NA
17,"DOMSV",17,"Domsvatnet",31.033333,70.316667,120,"NOR","Norway",37,5,2,2,NA,NA
18,"AVRIG1",18,"Avrig",24.383333,45.716667,400,"ROU","Romania",151,13,1,2,NA,NA
19,"EDESSA",19,"Edessa",21.9525,40.818056,350,"GRC","Greece",38,8,1,2,NA,NA
20,"GAGRA",20,"Gagra",40.266667,43.283333,4,"GEO","Georgia",61,2,1,2,NA,NA
21,"GELMT",21,"Gel'myazevskoye",31.833333,49.666667,120,"UKR","Ukraine",21,7,2,2,NA,360
22,"GRASVATN",22,"Grasvatn",8.7,63.7,45,"NOR","Norway",45,8,2,1,NA,NA
23,"IVAN3",23,"Ivanovskoye Peat Bog",38.766667,56.816667,141,"RUS","Russia",33,8,1,2,NA,NA
24,"KALSA",24,"Kalsa Mire",27.45,58.166667,38,"EST","Estonia",69,12,1,2,NA,NA
25,"KAMEN",25,"Kamenicky",15.966667,49.733333,624,"CZE","Czech Republic",29,9,2,2,0,127.5
26,"KANSJON",26,"Kansjon",14.533333,57.633333,308,"SWE","Sweden",45,12,2,2,NA,460
27,"KARASYE",27,"Karas'e Lake",70.22,53.03,435,"KAZ","Kazakhstan",38,6,1,2,NA,NA
28,"AVRIG2",18,"Avrig",24.383333,45.716667,400,"ROU","Romania",113,4,2,2,NA,NA
29,"KHOCHO",29,"Khocho",136.233333,71.05,6,"RUS","Russia",33,0,NA,NA,NA,NA
30,"KHOMUST",30,"Khomustakh Lake",121.62,63.82,120,"RUS","Russia",73,9,1,2,NA,NA
