"ent","sigle","siteID","siteName","lon","lat","elev","poldiv1","region","nsample","ndate","clammodel","use","upperdepth","lowerdepth","optional"
29,"KHOCHO",29,"Khocho",136.233333,71.05,6,"RUS","Russia",33,0,NA,NA,NA,NA,TRUE
43,"SAMAND",43,"Samandon",136.25,70.766667,10,"RUS","Russia",28,0,NA,NA,NA,NA,TRUE
48,"ABBOREG",48,"Aborregöl",16.15,57.2,78,"SWE","Sweden",20,0,NA,NA,NA,NA,TRUE
49,"ACHIT8",49,"Achit-Nur",90.6,49.5,1435,"MNG","Mongolia",20,4,NA,NA,NA,NA,TRUE
50,"ADATEPE",50,"Akgöl Adatepe",30.566667,41.033333,8,"TUR","Turkey",4,0,NA,NA,NA,NA,TRUE
51,"AE1",51,"Aegelsee",7.543611,46.648611,989,"CHE","Switzerland",100,0,NA,NA,NA,NA,TRUE
55,"AIG_HOU",54,"Aiguillettes des Ouches",6.840278,45.919444,1492,"FRA","France",28,0,NA,NA,NA,NA,TRUE
61,"AMSOPO1",60,"Amsoldingersee",7.576944,46.722778,641,"CHE","Switzerland",23,0,NA,NA,NA,NA,TRUE
72,"ARAL86",68,"Lake Aral",59.983333,44.42,53,"UZB","Uzbekistan",33,0,NA,NA,NA,NA,TRUE
73,"ARC",69,"Plan Dechaud",6.830833,45.567222,2175,"FRA","France",33,0,NA,NA,NA,NA,TRUE
75,"ARREO03",71,"Lago de Arreo",-2.983333,42.783333,650,"ESP","Spain",8,0,NA,NA,NA,NA,TRUE
78,"ATTEKOP",74,"Atteköps Mosse",12.883333,56.383333,185,"SWE","Sweden",27,3,NA,NA,NA,NA,TRUE
82,"AVLAN",78,"Avlan Gölü",29.95,36.583333,1026,"TUR","Turkey",25,0,NA,NA,NA,NA,TRUE
86,"BALIKH",82,"Balikh",39.083333,36.516667,324,"SYR","Syrian Arab Republic",10,0,NA,NA,NA,NA,TRUE
88,"BEANRIG",84,"Beanrig Moss",-2.765833,55.555,242,"GBR","United Kingdom",45,0,NA,NA,NA,NA,TRUE
90,"BEBUCH1",86,"Bois de Buchelbush",5.829722,49.713889,375,"BEL","Belgium",76,0,NA,NA,NA,NA,TRUE
91,"BEBUCH2",86,"Bois de Buchelbush",5.829722,49.713889,375,"BEL","Belgium",21,0,NA,NA,NA,NA,TRUE
92,"BEBUCH5",86,"Bois de Buchelbush",5.829722,49.713889,375,"BEL","Belgium",11,0,NA,NA,NA,NA,TRUE
93,"BEBUZDEN",87,"Buzenol",5.608889,49.625,265,"BEL","Belgium",4,0,NA,NA,NA,NA,TRUE
94,"BEDLNO",88,"Bedlno",20.283333,51.204167,227,"POL","Poland",69,0,NA,NA,NA,NA,TRUE
95,"BEETHECR",89,"Ethe source du Cron",5.595,49.606667,245,"BEL","Belgium",8,0,NA,NA,NA,NA,TRUE
96,"BEHEIDEK",90,"Tontelange Heideknapp",5.82,49.719444,325,"BEL","Belgium",37,0,NA,NA,NA,NA,TRUE
102,"BEORV622",95,"Abbaye d'Orval",5.347222,49.641944,215,"BEL","Belgium",5,0,NA,NA,NA,NA,TRUE
103,"BEORV623",95,"Abbaye d'Orval",5.347222,49.641944,215,"BEL","Belgium",5,0,NA,NA,NA,NA,TRUE
104,"BEORV624",95,"Abbaye d'Orval",5.347222,49.641944,215,"BEL","Belgium",20,0,NA,NA,NA,NA,TRUE
105,"BEORV641",95,"Abbaye d'Orval",5.347222,49.641944,215,"BEL","Belgium",22,0,NA,NA,NA,NA,TRUE
106,"BEORV642",95,"Abbaye d'Orval",5.347222,49.641944,215,"BEL","Belgium",6,0,NA,NA,NA,NA,TRUE
107,"BEORV643",95,"Abbaye d'Orval",5.347222,49.641944,215,"BEL","Belgium",4,0,NA,NA,NA,NA,TRUE
108,"BEORV644",95,"Abbaye d'Orval",5.347222,49.641944,215,"BEL","Belgium",5,0,NA,NA,NA,NA,TRUE
109,"BEORVA63",95,"Abbaye d'Orval",5.347222,49.641944,215,"BEL","Belgium",30,0,NA,NA,NA,NA,TRUE
111,"BERING",97,"Bering Island",166.1,55,8,"RUS","Russia",16,0,NA,NA,NA,NA,TRUE
112,"BERLARE",98,"Berlare",3.981667,51.038056,2,"BEL","Belgium",38,1,NA,NA,NA,NA,TRUE
119,"BJARSJON",105,"Bjarsjon",13.666667,58.333333,255,"SWE","Sweden",50,7,NA,NA,NA,NA,TRUE
120,"BJORKE69",106,"Björkedöds Mosse",12.5,56.283333,75,"SWE","Sweden",35,3,NA,NA,NA,NA,TRUE
123,"BLATO2",108,"Blato",15.191667,49.041667,645,"CZE","Czech Republic",66,0,NA,NA,NA,NA,TRUE
126,"BLKLOCH2",111,"Black Loch",-3.194722,56.320833,90,"GBR","United Kingdom",5,0,NA,NA,NA,NA,TRUE
130,"BOBRIZA",114,"Lake Bobriza",28.8,54.95,175,"BLR","Belarus",20,0,NA,NA,NA,NA,TRUE
131,"BOGDAN",115,"Bogdanovskoe Lake",29.666667,54.3,180,"BLR","Belarus",61,0,NA,NA,NA,NA,TRUE
134,"BORR-LG",118,"Loch Borralan",-4.999167,58.044167,139,"GBR","United Kingdom",47,0,NA,NA,NA,NA,TRUE
135,"BORR-PG",118,"Loch Borralan",-4.999167,58.044167,139,"GBR","United Kingdom",33,0,NA,NA,NA,NA,TRUE
137,"BOZOVA",120,"Bozova Lake",38.516667,37.35,592,"TUR","Turkey",10,0,NA,NA,NA,NA,TRUE
140,"BRESLES",123,"Tourbière de Bresles",2.25,49.4,50,"FRA","France",25,0,NA,NA,NA,NA,TRUE
141,"BSCUL",124,"Ballyscullion East",-6.433333,54.8,50,"GBR","United Kingdom",60,0,NA,NA,NA,NA,TRUE
143,"BURG-0",126,"Burgmoos",7.674444,47.172222,465,"CHE","Switzerland",1,0,NA,NA,NA,NA,TRUE
144,"BURG1",126,"Burgmoos",7.674444,47.172222,465,"CHE","Switzerland",1,0,NA,NA,NA,NA,TRUE
145,"BURG11",126,"Burgmoos",7.674444,47.172222,465,"CHE","Switzerland",13,0,NA,NA,NA,NA,TRUE
146,"BURG3",126,"Burgmoos",7.674444,47.172222,465,"CHE","Switzerland",10,0,NA,NA,NA,NA,TRUE
